yyyymmdd,area,sex,frequency
2016-01-01,강원,1,1.0937336088846785
2016-01-01,경기,1,4.233114088216806
2016-01-01,경남,1,1.9737795046267654
2016-01-01,경북,1,1.530075481547944
2016-01-01,광주,1,0.695452249439197
2016-01-01,대구,1,1.175831767044885
2016-01-01,대전,1,0.7179635337824375
2016-01-01,부산,1,1.916781099796104
2016-01-01,서울,1,3.574766313240991
2016-01-01,세종,1,0.2084940152158598
2016-01-01,울산,1,0.4581704194621069
2016-01-01,인천,1,1.0992265133791774
2016-01-01,전남,1,1.4116001956107311
2016-01-01,전북,1,1.15018838152312
2016-01-01,제주,1,0.3407281708449142
2016-01-01,충남,1,1.1768127629913927
2016-01-01,충북,1,1.0783123074407837
2016-01-01,강원,2,0.9956678906118602
2016-01-01,경기,2,3.980104079854901
2016-01-01,경남,2,1.8652650482842918
2016-01-01,경북,2,1.6841123064739134
2016-01-01,광주,2,0.732785917053691
2016-01-01,대구,2,1.347131234551982
2016-01-01,대전,2,0.7773591465251327
2016-01-01,부산,2,1.7886523015848248
2016-01-01,서울,2,3.533550919494772
2016-01-01,세종,2,0.23283900874828614
2016-01-01,울산,2,0.43760174741082103
2016-01-01,인천,2,1.0777455978712
2016-01-01,전남,2,1.6550958337622765
2016-01-01,전북,2,1.436984013527682
2016-01-01,제주,2,0.33792173264121567
2016-01-01,충남,2,1.2879901853974076
2016-01-01,충북,2,1.0431817398850007
2016-01-02,강원,1,1.1133590705978609
2016-01-02,경기,1,4.158464730356246
2016-01-02,경남,1,1.9530734910515537
2016-01-02,경북,1,1.526996333558695
2016-01-02,광주,1,0.692373101449948
2016-01-02,대구,1,1.167162911780383
2016-01-02,대전,1,0.7148843857931885
2016-01-02,부산,1,1.9279775109659507
2016-01-02,서울,1,3.588135085856671
2016-01-02,세종,1,0.20541486722661073
2016-01-02,울산,1,0.45778323495180817
2016-01-02,인천,1,1.0961473653899283
2016-01-02,전남,1,1.394820842863708
2016-01-02,전북,1,1.1471092335338708
2016-01-02,제주,1,0.3349570593767147
